Student_#,Assessment_Only_Weighted_Score,Traditional_Weighted_Score,Disability,Race,FRL,Gender
623,96.3,96.347,No,Black,Yes,Female
624,3.11,13.528,No,White,Yes,Female
625,73.9,70.039,No,White,Yes,Male
626,71.82,72.433,No,Other,Yes,Female
627,74.01,69.874,No,Other,Yes,Male
628,84.29,85.514,No,White,No,Female
629,78.4,80.997,No,Hispanic,Yes,Male
630,84.87,85.007,No,White,No,Male
631,84.52,83.1,No,White,Yes,Male
632,82.56,80.317,No,White,Yes,Female
633,2.42,4.541,Yes,Hispanic,Yes,Male
634,65.6,64.996,No,Hispanic,Yes,Male
635,15.33,17.075,No,Black,Yes,Male
636,48.8,45.03,No,Black,No,Female
637,29.2,28.055,Yes,Hispanic,Yes,Female
638,79.93,83.667,No,White,No,Female
639,75.2,70.792,No,Hispanic,Yes,Male
640,81.53,73.749,Yes,White,No,Male
641,93.06,86.897,No,Hispanic,Yes,Male
642,78.8,64.184,Yes,White,Yes,Male
643,91.86,82.941,No,White,Yes,Male
644,71.33,64.737,No,White,Yes,Female
645,86.26,90.663,No,Hispanic,Yes,Male
646,68,61.702,No,White,No,Male
647,94.66,95.799,No,Black,Yes,Female
648,16.93,17.466,Yes,White,Yes,Male
649,80.53,74.281,No,White,No,Male
650,0.8,0.994,Yes,Hispanic,Yes,Male
651,31.13,26.419,No,Hispanic,Yes,Male
652,88.13,76.348,Yes,White,Yes,Male
653,51.46,49.372,No,White,Yes,Male
654,65.2,61.89,No,Hispanic,Yes,Male
655,89.46,86.188,No,White,Yes,Male
656,88.93,90.626,No,White,Yes,Male
657,90.4,92.304,No,White,Yes,Female
658,80,81.924,No,Other,Yes,Female
659,81.46,80.822,No,White,Yes,Male
660,62.93,62.751,No,White,Yes,Female
661,53.86,54.642,No,Black,Yes,Male
662,77.69,81.773,No,Black,Yes,Male
663,89.2,87.24,No,Black,Yes,Male
664,66.8,71.86,No,Black,Yes,Male
665,85.06,86.175,No,White,Yes,Female
666,96.8,97.934,No,Black,Yes,Female
667,70.26,72.406,No,Other,Yes,Female
668,65.06,61.475,No,Other,Yes,Male
669,88.66,90.919,No,White,No,Female
670,83.86,85.885,No,Hispanic,Yes,Male
671,92.53,93.854,No,White,No,Male
672,62.66,69.219,No,White,Yes,Male
673,81.86,86.368,No,White,Yes,Female
674,94.93,98.484,No,White,No,Male
675,85.66,75.171,Yes,Black,No,Male
676,75.25,71.676,No,White,Yes,Female
677,23.33,24.975,No,White,Yes,Male
678,85.33,84.149,No,White,No,Female
679,82.41,70.858,Yes,White,Yes,Male
680,84.58,82.616,No,White,No,Female
681,72.16,67.535,No,White,Yes,Female
682,85,84.018,No,White,Yes,Male
683,62.25,60.839,Yes,Black,Yes,Female
684,67.66,59.745,No,Black,Yes,Male
685,54.33,51.308,Yes,White,Yes,Male
686,8,9.384,No,Black,Yes,Female
687,52.16,60.741,No,Other,Yes,Female
688,63.08,60.531,No,Black,Yes,Female
689,69.5,60.137,Yes,Black,Yes,Male
690,54.83,49.969,Yes,Black,Yes,Female
691,76.83,71.955,No,Black,Yes,Female
692,91.66,77.799,No,Black,Yes,Male
693,93.8,85.443,No,Other,Yes,Male
694,82.4,75.561,No,White,Yes,Male
695,77.2,76.54,Yes,Black,Yes,Male
696,75.2,75.741,No,Black,Yes,Female
697,78.8,60.505,No,Black,Yes,Male
698,84.4,76.82,No,White,Yes,Female
699,68.4,60.582,Yes,White,Yes,Male
700,35.1,35.196,Yes,Hispanic,Yes,Female
701,82.2,77.711,No,White,Yes,Female
702,29.4,22.547,Yes,Black,Yes,Male
703,64.6,63.479,Yes,Other,Yes,Female
704,70.8,56.08,No,Black,Yes,Male
705,83.7,82.727,No,White,No,Female
706,48,40.687,Yes,Black,Yes,Male
707,77.2,75.143,No,Black,Yes,Female
708,44.5,42.701,Yes,Black,Yes,Female
709,42.5,37.232,Yes,Black,Yes,Female
710,70.8,59.56,Yes,White,No,Male
711,36.5,39.348,Yes,White,Yes,Male
712,80,66.344,No,Other,No,Female
713,82.2,77.922,No,White,Yes,Female
714,53,51.321,Yes,Black,No,Male
715,76.4,69.51,No,Other,Yes,Male
716,77.1,75.45,No,White,Yes,Male
717,70.7,65.215,Yes,Hispanic,Yes,Female
718,59.6,54.26,No,Black,Yes,Male
719,82.6,75.048,No,Black,Yes,Female
720,75.4,73.014,No,White,No,Female
721,82.2,77.922,No,Black,Yes,Male
722,83.2,73.135,No,Black,Yes,Male
723,80.3,73.52,No,Black,No,Female
724,68.2,66.923,No,Hispanic,Yes,Male
725,69.6,63.633,Yes,Hispanic,Yes,Male
726,74.2,64.309,Yes,White,No,Male
727,77,63.661,No,White,Yes,Male
728,73.2,61.584,Yes,White,No,Male
729,67.8,61.704,Yes,Black,Yes,Male
730,80.5,71.459,No,Other,Yes,Female
731,56.1,52.943,No,Black,Yes,Male
732,94.8,88.359,No,White,No,Male
733,44.6,39.608,No,Black,Yes,Female
734,87,86.485,No,White,Yes,Female
735,67.5,60.67,Yes,White,Yes,Female
736,61.6,60.562,No,White,Yes,Female
737,77.38,79.99,Yes,Black,Yes,Male
738,20.16,23.465,Yes,Hispanic,Yes,Male
739,83.37,86.746,No,White,No,Female
740,9.94,7.528,No,White,Yes,Male
741,26.9,25.258,Yes,Other,Yes,Female
742,80.24,69.518,Yes,White,No,Male
743,68.52,68.445,No,Other,Yes,Female
744,74.93,74.677,Yes,White,Yes,Female
745,80.91,84.484,No,White,Yes,Female
746,88.55,83.959,No,Other,Yes,Male
747,74.11,80.238,No,Black,Yes,Female
748,91.55,90.965,No,White,Yes,Female
749,82.9,86.277,Yes,White,No,Male
750,90.05,87.711,No,White,Yes,Female
751,89.98,88.61,No,White,No,Female
752,73.36,66.512,Yes,Black,Yes,Male
